map,radius,oct_pl,oct_exp,rda_pl,rda_exp,pl_inc_pct,exp_red_pct
brc503d,3,192.04118677141818,3983.0,202.769465808,2201.8,5.586446958043134,44.72006025608837
brc503d,5,192.04118677141818,3983.0,200.70256106000002,2061.25,4.510164946486839,48.248807431584225
brc503d,7,192.04118677141818,3983.0,198.883322246,2137.45,3.5628479440328764,46.33567662565905
orz100d,3,294.64648250315713,11957.3,311.37440431,8576.85,5.677285425141165,28.27101435942896
orz100d,5,294.64648250315713,11957.3,307.987398546,8269.2,4.527770340071835,30.84391961395966
orz100d,7,294.64648250315713,11957.3,305.425013972,8289.95,3.658123245617695,30.670385454910377
den502d,3,85.46366517139587,465.85,86.957777648,207.15,1.7482429212551498,55.5328968552109
den502d,5,85.46366517139587,465.85,87.6264068,238.35,2.530597797633405,48.835462058602566
den502d,7,85.46366517139587,465.85,87.40214273200002,248.65,2.26818912659148,46.62444993023506
arena2,3,112.89625535217628,2619.0,115.73889595600001,2034.5,2.517922844257492,22.31767850324551
arena2,5,112.89625535217628,2619.0,115.36107849799998,2086.2,2.1832638630349344,20.343642611683855
arena2,7,112.89625535217628,2619.0,115.07823578600001,2141.6,1.9327305649041282,18.22833142420771
ost003d,3,100.95727265770293,1265.95,106.543059008,895.7,5.532822156592676,29.246810695525095
ost003d,5,100.95727265770293,1265.95,104.51168815999999,877.05,3.520712682431859,30.72001263872981
ost003d,7,100.95727265770293,1265.95,103.09453087199999,891.3,2.116992820857466,29.594375765235604
Berlin_0_512,3,228.4534846822907,5736.35,237.50983362799997,1335.1,3.9641982079213545,76.72561820669938
Berlin_0_512,5,228.4534846822907,5736.35,237.90272684800001,1411.4,4.136177733883262,75.3955041097562
Berlin_0_512,7,228.4534846822907,5736.35,237.12490939,1467.65,3.795706911526686,74.41491540788132
London_0_512,3,253.89257197881693,7325.95,264.51080041200004,2924.1,4.182173724274629,60.085722670779894
London_0_512,5,253.89257197881693,7325.95,263.45308397,3112.35,3.7655737293412317,57.51609006340475
London_0_512,7,253.89257197881693,7325.95,263.12881990200003,3066.1,3.637856693166164,58.147407503463725
Moscow_0_512,3,223.35140315427356,5671.35,233.47293244599996,1232.55,4.531661385953001,78.26707926684124
Moscow_0_512,5,223.35140315427356,5671.35,234.23948007200002,1312.45,4.874863897857784,76.85824362806034
Moscow_0_512,7,223.35140315427356,5671.35,234.75039278199998,1488.1,5.103612274982172,73.7610974459344
Paris_0_512,3,221.09373003523487,5512.35,231.200331576,1914.05,4.5711841485303495,65.27705969323428
Paris_0_512,5,221.09373003523487,5512.35,230.98403649000002,1981.3,4.473354560162779,64.05707184776004
Paris_0_512,7,221.09373003523487,5512.35,230.803275304,1976.55,4.391596843211132,64.1432419929794
Shanghai_0_512,3,212.31942263893407,5063.1,216.80262226600001,1409.3,2.1115353326341513,72.16527423910253
Shanghai_0_512,5,212.31942263893407,5063.1,216.80972904600003,1386.2,2.1148825440723273,72.62151646224645
Shanghai_0_512,7,212.31942263893407,5063.1,216.46830769000002,1409.15,1.9540770220167092,72.16823685094113
dustwallowkeys,3,206.94271990845814,5413.65,216.73927090799998,2048.25,4.733943288208153,62.16508270760023
dustwallowkeys,5,206.94271990845814,5413.65,216.34135243400002,2069.15,4.541658933302606,61.77902154738485
dustwallowkeys,7,206.94271990845814,5413.65,216.251402942,2185.85,4.498193044751497,59.62335947096691
blastedlands,3,166.86580797387688,3175.75,173.84728326600003,1325.4,4.1838860680290635,58.26497677713925
blastedlands,5,166.86580797387688,3175.75,172.88662309600002,1347.95,3.6081778497520034,57.55490828938046
blastedlands,7,166.86580797387688,3175.75,172.550226994,1331.25,3.406581066034242,58.08076832244351
bloodvenomfalls,3,192.69215357060597,4831.85,202.08784242000002,2088.3,4.876010089300964,56.78052919689146
bloodvenomfalls,5,192.69215357060597,4831.85,203.38576089400001,2354.65,5.5495810935943135,51.268147810879896
bloodvenomfalls,7,192.69215357060597,4831.85,201.583679368,2406.6,4.614368375999289,50.19299026252886
darkforest,3,185.1275395468972,4351.45,192.579011236,2034.15,4.02504765489804,53.25351319675051
darkforest,5,185.1275395468972,4351.45,192.206219032,2084.45,3.8236771808386694,52.097576669845694
darkforest,7,185.1275395468972,4351.45,192.53134530200003,2160.6,3.9993000356531416,50.34758528766273
battleground,3,163.69534982745233,2860.3,168.186518514,1304.15,2.743614092447766,54.40513232877671
battleground,5,163.69534982745233,2860.3,168.324996142,1323.2,2.8282088156002416,53.73911827430688
battleground,7,163.69534982745233,2860.3,167.662254446,1316.1,2.4233459427705606,53.9873439848967
